capsule_id,scaffold,annotation_agent_run_id,public_agent_run_id,canonical_public_id,annotation_accuracy,public_accuracy,score_changed,public_url,api_url
capsule-4933686,"Core Agent (anthropic/claude-opus-4-5, steps=200)",a054a642-e647-4304-ab3c-b637dcdc92a9,9fab07df-d170-4412-818d-77b50b9a58d5,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:9fab07df-d170-4412-818d-77b50b9a58d5,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/9fab07df-d170-4412-818d-77b50b9a58d5,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=9fab07df-d170-4412-818d-77b50b9a58d5
capsule-4933686,"Core Agent (anthropic/claude-opus-4-6, steps=200)",75c91776-db04-4638-81ff-91f3c290ff09,e0cc51f9-5d4f-485a-ba33-6fc386184072,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:e0cc51f9-5d4f-485a-ba33-6fc386184072,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/e0cc51f9-5d4f-485a-ba33-6fc386184072,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=e0cc51f9-5d4f-485a-ba33-6fc386184072
capsule-4933686,"Core Agent (gpt-5.4, steps=200)",d14e6e00-b6c3-4e7e-af4b-e23201ca8d82,c2c8ca72-cc25-4857-b7ab-05f3b3df7cf1,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:c2c8ca72-cc25-4857-b7ab-05f3b3df7cf1,0,0,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/c2c8ca72-cc25-4857-b7ab-05f3b3df7cf1,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=c2c8ca72-cc25-4857-b7ab-05f3b3df7cf1
capsule-4933686,"Open Code (anthropic/claude-opus-4-5, think=10000)",9ddc0783-969e-497a-80fb-275ca13e76f5,0623097d-73aa-436e-898e-fe5178b595b6,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:0623097d-73aa-436e-898e-fe5178b595b6,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/0623097d-73aa-436e-898e-fe5178b595b6,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=0623097d-73aa-436e-898e-fe5178b595b6
capsule-4933686,Open Code (anthropic/claude-opus-4-6),cf8eb326-3502-4843-96a2-a6caa7b55351,f9597d2d-e40b-4bdd-b493-5e3267879bc4,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:f9597d2d-e40b-4bdd-b493-5e3267879bc4,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/f9597d2d-e40b-4bdd-b493-5e3267879bc4,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=f9597d2d-e40b-4bdd-b493-5e3267879bc4
capsule-4933686,"Open Code (openai/gpt-5.4, re=high)",b5a7a692-f142-4aea-81df-e2fbd980fc62,5518c261-5fe9-4eb1-95c7-35ab9c635599,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:5518c261-5fe9-4eb1-95c7-35ab9c635599,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/5518c261-5fe9-4eb1-95c7-35ab9c635599,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=5518c261-5fe9-4eb1-95c7-35ab9c635599
capsule-5136217,"Claude Code (anthropic/claude-opus-4-5, think=10000)",0f1229e3-06eb-4081-864b-36d715a56736,21e83666-5dd9-4ad6-91ab-8280466c3455,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:21e83666-5dd9-4ad6-91ab-8280466c3455,0,0,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/21e83666-5dd9-4ad6-91ab-8280466c3455,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=21e83666-5dd9-4ad6-91ab-8280466c3455
capsule-5136217,Claude Code (anthropic/claude-opus-4-6),502fe69c-9bac-4cb2-bff7-75cad18350fb,006d7383-b856-415b-a614-59d059134727,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:006d7383-b856-415b-a614-59d059134727,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/006d7383-b856-415b-a614-59d059134727,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=006d7383-b856-415b-a614-59d059134727
capsule-5136217,"Codex Agent (gpt-5.4, re=high)",0b942ea8-5b33-40a4-bd2a-a5a726ac99b9,2f9a5c63-8c1e-43e6-b43f-44c6ec21afd3,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:2f9a5c63-8c1e-43e6-b43f-44c6ec21afd3,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/2f9a5c63-8c1e-43e6-b43f-44c6ec21afd3,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=2f9a5c63-8c1e-43e6-b43f-44c6ec21afd3
capsule-5136217,"Codex Agent (gpt-5.4, re=medium)",c33d1fdf-b98f-4a2b-a7e2-3e1692227eed,ccf69853-0b75-4f92-9846-47642fb89e4a,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:ccf69853-0b75-4f92-9846-47642fb89e4a,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/ccf69853-0b75-4f92-9846-47642fb89e4a,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=ccf69853-0b75-4f92-9846-47642fb89e4a
capsule-5136217,"Core Agent (anthropic/claude-opus-4-5, steps=200)",614efb39-4f73-4f89-b4d1-60633a18d5d0,b7862d83-13e8-4ee9-8beb-9e6ca1d0273a,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:b7862d83-13e8-4ee9-8beb-9e6ca1d0273a,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/b7862d83-13e8-4ee9-8beb-9e6ca1d0273a,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=b7862d83-13e8-4ee9-8beb-9e6ca1d0273a
capsule-5136217,"Core Agent (anthropic/claude-opus-4-6, steps=200)",69bf968e-0fc1-4abe-bad4-2999f4d25f8d,c06c14f9-91c1-4ee9-84b7-9789cc372a7c,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:c06c14f9-91c1-4ee9-84b7-9789cc372a7c,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/c06c14f9-91c1-4ee9-84b7-9789cc372a7c,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=c06c14f9-91c1-4ee9-84b7-9789cc372a7c
